Alingsås, 2022-08-17 10:45
Arjeplog, 
Arvidsjaur, 2022-03-15 13:00
Arvika, 
Avesta, 2022-07-14 10:45
Boden, 
Bollnäs, 2022-04-06 10:00
Borlänge, 2022-05-10 10:45
Borås, 2022-05-13 08:15
Eksjö, 2022-04-13 13:45
Enköping, 2022-08-24 08:15
Eskilstuna, 2022-05-02 10:00
Eslöv, 
Fagersta, 2022-05-18 14:45
Falkenberg, 2022-04-14 13:30
Falköping, 2022-10-05 11:30
Falun, 2022-04-04 13:15
Farsta, 2022-04-27 13:50
Filipstad, 
Finspång, 2022-05-18 11:30
Flen, 
Gislaved, 2022-07-07 11:30
Gällivare, 2022-07-07 11:30
Gävle, 2022-05-06 10:45
Göteborg Högsbo, 2022-05-02 12:30
Göteborg-Hisingen, 2022-06-13 07:45
Halmstad, 2022-04-01 08:00
Hammarstrand, 
Haparanda, 
Hedemora, 2022-07-14 13:00
Helsingborg, 2022-03-21 14:30
HK, 
Hudiksvall, 2022-03-22 13:45
Härnösand, 2022-03-03 13:00
Hässleholm, 2022-10-18 10:45
Jokkmokk, 
Järfälla, 2022-03-18 07:25
Järpen, 
Jönköping, 2022-03-21 14:45
Kalix, 
Kalmar, 2022-03-04 07:45
Karlshamn, 2022-04-12 09:00
Karlskoga, 2022-08-18 15:30
Karlskrona, 2022-04-01 09:00
Karlstad, 2022-05-13 11:30
Katrineholm, 
Kinna, 2022-07-14 13:00
Kiruna, 
Kisa, 
Kramfors, 
Kristianstad, 2022-04-28 10:00
Kristinehamn, 
Kumla, 
Kungsbacka, 2022-06-23 07:45
Kungälv, 2022-06-09 12:30
Köping, 2022-04-12 15:30
Landskrona, 2022-04-07 12:45
Lidköping, 2022-08-18 10:00
Lindesberg, 
Linköping, 2022-03-09 09:00
Ljungby, 2022-05-12 13:00
Ljusdal, 2022-04-27 13:45
Ludvika, 2022-04-27 13:45
Luleå, 2022-05-06 09:00
Lund, 2022-06-28 08:00
Lycksele, 2022-03-29 08:45
Lysekil, 
Malmö, 2022-04-29 08:45
Malung, 2022-10-04 13:45
Mariestad, 
Mjölby, 2022-03-21 16:30
Mora, 2022-10-05 10:45
Motala, 2022-03-10 08:15
Norrköping, 2022-03-08 15:30
Norrtälje 2, 
Nybro, 2022-03-30 07:45
Nyköping, 2022-10-13 08:10
Nynäshamn, 
Nässjö, 2022-03-24 08:15
Olofström, 
Oskarshamn, 2022-09-27 12:30
Pajala, 
Piteå, 2022-03-15 10:00
Ronneby, 
Sala, 2022-08-03 14:45
Sandviken, 2022-04-26 15:45
Simrishamn, 
Skellefteå, 2022-03-02 10:00
Skövde, 2022-05-02 10:00
Sollefteå, 2022-08-23 09:00
Sollentuna, 2022-05-10 08:10
Strängnäs, 
Strömstad, 
Strömsund, 
Sundsvall, 2022-03-14 15:30
Sunne, 
Sveg, 
Säffle, 
Söderhamn, 2022-05-05 09:00
Södertälje, 2022-05-20 13:50
Sölvesborg, 
Tranås, 2022-04-06 10:00
Trelleborg, 
Tullinge, 
Uddevalla, 2022-05-05 09:00
Ulricehamn, 2022-07-05 10:00
Umeå, 2022-03-07 07:30
Uppsala, 2022-07-07 08:15
Varberg, 2022-05-25 11:15
Vetlanda, 2022-04-12 11:30
Vilhelmina, 2022-04-13 10:00
Vimmerby, 2022-03-17 10:45
Vindeln, 
Visby, 2022-03-03 13:00
Vänersborg, 2022-05-04 13:45
Värnamo, 2022-05-04 13:00
Västervik, 2022-03-10 10:00
Västerås, 2022-04-01 08:15
Växjö, 2022-03-21 07:30
Ystad, 
Åmål, 
Ånge, 
Älmhult, 2022-05-31 13:00
Älvsbyn, 
Ängelholm, 2022-04-05 08:30
Örebro, 2022-05-02 14:45
Örnsköldsvik, 2022-03-01 08:15
Östersund, 2022-03-28 14:45
Östhammar, 
Övertorne, 
